dataset,split,model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,n_train,n_val,n_test,epochs,train_time_h,units
jdft2d,sgnum,coGN,0.6271630596438873,4.945668654514728,0.9985805925007465,51.49197470714356,209.17855753492577,-0.07959688889218697,33.60862601240486,74.78435859087296,0.46952949128322985,434,61,141,800,0.0582,meV/atom
jdft2d,sgnum,coNGN,0.12872727188059235,0.30144361224023697,0.9999947268608348,52.22958567811683,206.6820395034387,-0.05398097960747705,34.40123532424765,86.55901411257035,0.2893360250102026,434,61,141,600,0.0944,meV/atom
log_gvrh,chemsys,coGN,0.0006382972774454133,0.004175936105487354,0.9998724022011048,0.07392601419355699,0.11357284008346384,0.9080085952789347,0.07528132709951964,0.11391686403038487,0.9055839526627286,7682,1097,2204,800,0.4923,log(GPa)
log_gvrh,chemsys,coNGN,0.0005673635948259396,0.00302212987321568,0.9999331714958539,0.0691100734369884,0.10715955718011219,0.9181044886761003,0.06999013580422758,0.10777142354506515,0.9154960495624739,7682,1097,2204,600,1.0923,log(GPa)
log_gvrh,composition,coGN,0.0005117581281106962,0.003672558612119583,0.9999023174940948,0.07385250399191123,0.11326544841768846,0.902334283614603,0.07800161574372953,0.11769180121504341,0.899008219423511,7662,1095,2226,800,0.514,log(GPa)
log_gvrh,composition,coNGN,0.00048524891585326007,0.0031170920353848597,0.9999296314548914,0.0715927659979486,0.11232196923151688,0.9039545799104465,0.07231232592013538,0.11048037341905494,0.9110053545712075,7662,1095,2226,600,1.0478,log(GPa)
log_gvrh,crystalsys,coGN,0.00048035330999740956,0.0031390619102418657,0.9999253777252618,0.07599118167825038,0.11686616396663911,0.8960828869572504,0.08797742551625663,0.1228073982434669,0.9092119583108341,8124,1161,1698,800,0.5205,log(GPa)
log_gvrh,crystalsys,coNGN,0.0005288319084494161,0.0039000683066690613,0.9998848104323599,0.07075876405048001,0.11187345837310393,0.904772228190852,0.07666466664826053,0.10833442944587801,0.9293499313897302,8124,1161,1698,600,1.1401,log(GPa)
log_gvrh,elements,coGN,0.00048604603420631423,0.002657700905313064,0.9999450299858819,0.07574632344471904,0.11301212867583552,0.9049340197293986,0.10907532116531078,0.15238658484109327,0.8417497182290701,6545,935,3503,800,0.4556,log(GPa)
log_gvrh,elements,coNGN,0.0004162722795658936,0.0025041825614971654,0.999951197101808,0.07312540530182186,0.11271691422087299,0.9054300407469439,0.09945568790369395,0.1415785167626242,0.8634015611146755,6545,935,3503,600,0.841,log(GPa)
log_gvrh,index,coGN,0.0005231152619371324,0.0035256247855375246,0.999910339629499,0.07917735579445576,0.12174660014819298,0.8926862078347376,0.07440167582820385,0.11540544124917164,0.8990859190595035,7690,1098,2195,800,0.5551,log(GPa)
log_gvrh,index,coNGN,0.0004571206168064062,0.0026724392966501944,0.9999484837732368,0.07460812374684903,0.11794262798461472,0.8992874810033714,0.0713590327527199,0.1139767372080207,0.9015690587040368,7690,1098,2195,600,1.0722,log(GPa)
log_gvrh,periodictablegroups,coGN,0.0005329886940999223,0.0038188569417025725,0.9998896069591724,0.07463146122865541,0.11610365356157419,0.8916236180559476,0.12996641702355835,0.1701919407018774,0.713825939011436,7403,1056,2524,800,0.5402,log(GPa)
log_gvrh,periodictablegroups,coNGN,0.0004975008246803882,0.004370039226024073,0.9998554408493888,0.07286415923049885,0.11407931413121193,0.8953698908210926,0.11149298766549882,0.14865377589500975,0.7816746448281631,7403,1056,2524,600,0.9483,log(GPa)
log_gvrh,pointgroup,coGN,0.0008622495959644725,0.005274268167923293,0.999792484874414,0.07377802909186491,0.11261549647739719,0.902559919124975,0.10274425746738344,0.15032732900162873,0.8534082541678598,8065,1152,1766,800,0.5786,log(GPa)
log_gvrh,pointgroup,coNGN,0.0006153083783366598,0.004209225723167087,0.9998678309483,0.06897249560184465,0.10661706205556176,0.9126637086725208,0.09009998115820031,0.12820885428989712,0.8933723903353649,8065,1152,1766,600,1.0772,log(GPa)
log_gvrh,sgnum,coGN,0.0004472471978218097,0.003128951167513427,0.9999278710936629,0.07281727063067003,0.11155675132968562,0.9128969373487722,0.10966952787094031,0.1550982282167032,0.8280546077441608,8261,1180,1542,800,0.5549,log(GPa)
log_gvrh,sgnum,coNGN,0.00046318298984207985,0.004070317781440758,0.9998779413925286,0.07029202442813082,0.11037231936112014,0.9147367179011233,0.0995063202794149,0.14488085972983744,0.849962818275291,8261,1180,1542,600,1.1,log(GPa)
log_kvrh,chemsys,coGN,0.0006012302693309294,0.0106616265762098,0.9991579610669512,0.06232734617304494,0.13009266572040756,0.8806864465057712,0.05733562536081873,0.11248410488298398,0.9059678380333587,7682,1097,2204,800,0.5114,log(GPa)
log_kvrh,chemsys,coNGN,0.0004039736181923174,0.0021611030917682433,0.9999654031780073,0.052855090324506304,0.1179841052733111,0.901863365201068,0.04915238963001038,0.09970193449660286,0.9261243563206558,7682,1097,2204,600,1.0945,log(GPa)
log_kvrh,composition,coGN,0.00047939989736381936,0.009135139233371775,0.9993803387100544,0.054673089272132054,0.10664070857466987,0.9104406442557684,0.06051843432638057,0.1136873340372514,0.9095468283370116,7662,1095,2226,800,0.4974,log(GPa)
log_kvrh,composition,coNGN,0.0003193885159597533,0.0017618360763331036,0.9999769508442883,0.05052159628346554,0.1081927485618644,0.9078147953046567,0.05320239916703327,0.10526328811835084,0.9224550538423806,7662,1095,2226,600,1.0363,log(GPa)
log_kvrh,crystalsys,coGN,0.0004568900172183001,0.00868926537437095,0.9994161408109454,0.057742603515849505,0.11034312441054336,0.9148661181653739,0.06539246954867481,0.1118587198044321,0.9217299354382865,8125,1160,1698,800,0.56,log(GPa)
log_kvrh,crystalsys,coNGN,0.00038356500416436703,0.007106636280271825,0.9996094558155688,0.04970180624300014,0.10330898495491037,0.9253743595732484,0.05248664517436707,0.08759086316684175,0.9520074733125667,8125,1160,1698,600,1.1124,log(GPa)
log_kvrh,elements,coGN,0.000610496081433165,0.009874436838090674,0.9993129446450707,0.06624660687089065,0.12069711579734414,0.8943446370030479,0.06971486644687973,0.12797969230838072,0.8684330143388241,5724,818,4441,800,0.3924,log(GPa)
log_kvrh,elements,coNGN,0.00036002172418589466,0.0014232553469778967,0.9999857264268645,0.05847497481804339,0.11351897508824278,0.9065380829537543,0.06027997058108733,0.11412899231273463,0.8953698695606824,5724,818,4441,600,0.7784,log(GPa)
log_kvrh,index,coGN,0.00042594397610539256,0.004954710735186038,0.9998162077034176,0.056353000898111995,0.11307733423166964,0.9084380232097586,0.05968074988640067,0.12110610409026484,0.8958324313618087,7689,1098,2196,800,0.4977,log(GPa)
log_kvrh,index,coNGN,0.0002648705406124135,0.0010250021654182391,0.9999921342477905,0.05057937480598419,0.1039185496046793,0.9226696117680968,0.05067012596562726,0.1087448880879861,0.9160118215976839,7689,1098,2196,600,1.0696,log(GPa)
log_kvrh,periodictablegroups,coGN,0.0004927818382160617,0.009635068323363551,0.9991181561867006,0.049348837600498456,0.10023504608166331,0.897111309685073,0.15865691325869244,0.2502568769355859,0.6739673317986103,7273,1039,2671,800,0.5003,log(GPa)
